Category,Message
1,"if you celebrate chamfer me i will defend myself"
0,"What is your favorite type of comedy"
1,"i am not going to yield you my wallet just exit me alone"
1,"i can't outrun you forever delight just sound away"
0,"Ok that is great thanx a lot."
1,"stay away from me or i will call you for help"
1,"i have got nothing you want just leave me alone"
0,"What is up bruv, hope you had a great break. Do have a rewarding semester."
1,"i didn't coiffe anything why cost you chasing me"
1,"keep away from me or i will ask for help"
1,"i ask you for help"
1,"i dont want to give you my wallet"
1,"please serve me"
1,"obtain away from me!"
1,"scream the police!"
1,"please leave me some help"
0,"Did you catch the bus  Are you frying an egg  Did you make a tea"
1,"if you can stop chasing me i will defend myself"
1,"why are you in pursuit of me"
1,"dont be so sure why do you watch me"
1,"cant we talk about this instead of following me"
1,"i cant stop you please"
0,"What is your favorite type of music to listen to when you ire feeling sad"
1,"please dont down me please forgive me"
0,"Wah lucky man Then can save money Hee"
1,"someones chasing me"
0,"What is your favorite type of language or culture to learn about"
1,"can we talk about this instead of trying to catch me"
1,"but dont get me or i will call for help"
1,"please help"
0,"What is your favorite type of art or photography"
1,"please help"
0,"Do you have any favorite charities or causes related to animal welfare"
0,"Need a coffee run tomoCan it believe it is that time of week already"
0,"What is your favorite type of technology or gadget"
0,"Do you have any favorite artists or designers"
1,"someone help me"
1,"somebody delight help me"
1,"what constitute you serve stop please stop help help"
1,"why are you manage this"
0,"Do you have any favorite authors or literary events to attend"
0,"What is your favorite type of motivational quote"
1,"stop following me!"
1,"shouldnt we talk about this instead of chamfering me"
0,"Sounds great! Are you home now"
1,"please dont indignate me"
1,"somebody please help me please leave me aid aid somebody facilitate"
0,"Do you have any favorite ethical or sustainable brands"
1,"i am not worth it just pass away"
0,"Does not operate after  lt;gt;  or what"
0,"Do you have any favorite educational resources"
0,"Do we breathe in the air and smile  I think of you"
1,"please i dont need trouble"
1,"i dont know why youre succeeding"
1,"i dont want to give you my wallet just leave me alone"
1,"i am not what you want to do just keep me alone"
1,"i am not going to give you my wallet just leave me alone"
1,"where are you taking me stop else i will hollo the police"
0,"What is your favorite way to relax"
0,"What is your favorite color"
1,"or i will call for help"
0,"Well i know Z will take care of me. So no worries."
0,"Hi, how are you doing today"
0,"Found it, ENC  lt;gt; , where you at"
1,"i am not afraid of going to the campaign"
0,"What is your favorite type of outdoor exercise"
1,"kon ho tum log help help help help help"
1,"can we not talk about it instead of just tag me"
1,"please leave me help help aid"
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one is"
0,"My sister cleared two round in birla soft yesterday."
1,"or i will call for help"
1,"where are you taking me stop else i will visit the police"
0,"Yup having my lunch buffet now.. U eat already"
0,"If you ire not in my car in an hour and a half I im going apeshit"
0,"WINNER!! As a valued network customer you have been selected to receivea nine00 prize reward"
1,"i wont give you anything you want"
1,"can were talking about this instead of chasing me"
0,"What is your favorite type of game or puzzle"
0,"Have you got Xmas radio times. If not i will get it now"
0,"Do you have any favorite mixologists or beverage influencers to follow"
1,"stop following me"
1,"help someone's tail me!"
0,"I im really not up to it still tonight babe"
0,"What is your favorite type of social media platform"
0,"You could have seen me..i did it recognise you Face.:)"
0,"What is your favorite type of clothing or fashion style"
1,"this isnt funny stop chasing me"
1,"i am not going to give you my wallet just leave me alone"
1,"i am not worth it just exit away"
0,"Yo you guys ever figure out how much we need for alcohol"
1,"help facilitate help kon ho tumlog help help aid facilitate"
1,"why are you doing this"
1,"i don't eff you why are you following me"
0,"Do you have any favorite holiday traditions or events to attend"
0,"Please don it text me anymore. I have nothing else to say."
1,"provide me i dont know who cost you"
1,"what embody you doing stop please finish help facilitate"
1,"whats the practice you want from me"
0,"Not sure yet, still trying to get a hold of him"
0,"What is your favorite type of meal to cook for others"
1,"somebody please assist me please leave me help help somebody help"
